Country,year,gdp_per_capita ($),Total_Population,suicides_no,suicides/100k_pop,percentage of elderly(%),Education index,"Inflation, consumer prices (annual %)",Unemployment Rate
Albania,1987,796,2709600,73,2.69,2.118393858872158,,,
Albania,1988,769,2764300,63,2.28,2.123503237709366,,,
Albania,1989,833,2803100,68,2.43,2.1226499232992047,,,
Albania,1992,251,2822500,47,1.67,2.2178919397697077,0.557,226.0054213,30.01499939
Albania,1993,437,2807300,73,2.6,2.26195989028604,0.542,85.00475124,25.25799942
Albania,1994,697,2849300,50,1.75,2.263713894640789,0.528,22.56505269,20.84000015
Albania,1995,835,2903400,88,3.03,2.2697527037266654,0.55,7.793218538,14.61100006
Albania,1996,1127,2940200,89,3.03,2.2651520304741175,0.557,12.72547781,13.93099976
Albania,1997,793,2977300,170,5.71,2.267154804688812,0.569,33.18027438,16.87599945
Albania,1998,899,3012700,154,5.11,2.2604308427656252,0.579,20.64285887,20.04700089
Albania,1999,1127,3029700,139,4.59,2.2543486153744596,0.584,0.389437654,20.84000015
Albania,2000,1299,2796300,54,1.93,2.24224868576333,0.586,0.050018136,19.02799988
Albania,2001,1451,2799349,119,4.25,2.7970074470885913,0.588,3.10758827,18.57500076
Albania,2002,1573,2818839,133,4.72,2.7817835640843622,0.596,7.770525834,17.89500046
Albania,2003,2021,2843929,124,4.36,2.874720149483338,0.604,0.484002612,16.98900032
Albania,2004,2544,2874991,146,5.08,3.0085659398585944,0.605,2.280019169,16.30999947
Albania,2005,2931,2783320,0,0.0,3.293261285084,0.621,2.366581957,15.97000027
Albania,2006,3235,2780176,0,0.0,3.4815421757471468,0.628,2.370728319,15.63000011
Albania,2007,3863,2770344,124,4.48,3.60135780971605,0.64,2.932682482,15.97000027
Albania,2008,4672,2757059,160,5.8,3.7700680326391276,0.644,3.320870904,13.06000042
Albania,2009,4387,2745735,0,0.0,3.9666246014273043,0.65,2.266922095,13.67000008
Albania,2010,4359,2736025,96,3.51,4.209829954039162,0.671,3.626046956,14.09000015
Antigua and Barbuda,1985,3850,62574,0,0.0,2.1942020647553298,,,
Antigua and Barbuda,1986,4740,61270,0,0.0,2.431858984821283,,,
Antigua and Barbuda,1987,5595,60261,0,0.0,2.6866464214002423,,,
Antigua and Barbuda,1988,6693,59564,0,0.0,2.9279430528507153,,,
Antigua and Barbuda,1989,7407,59238,0,0.0,3.1584455923562578,,,
Antigua and Barbuda,1990,7744,59334,1,1.69,3.3876023864900393,,,
Antigua and Barbuda,1991,7976,60394,0,0.0,3.472199225088585,,,
Antigua and Barbuda,1992,8087,61741,0,0.0,3.5503150256717575,,,
Antigua and Barbuda,1993,8453,63315,1,1.58,3.6042012161415142,,,
Antigua and Barbuda,1994,9062,65044,0,0.0,3.6375376668101596,,,
Antigua and Barbuda,1995,8636,66846,0,0.0,3.638213206474583,,,
Antigua and Barbuda,1998,10078,72225,0,0.0,3.364485981308411,,,
Antigua and Barbuda,1999,10378,73832,0,0.0,3.2479141835518477,,1.121287896,
Antigua and Barbuda,2000,11021,75326,2,2.66,3.121100284098452,,0.771779797,
Antigua and Barbuda,2001,10468,76497,2,2.61,3.2249630704472074,,1.402796636,
Antigua and Barbuda,2002,10499,77588,0,0.0,3.313656751043976,,2.407658013,
Antigua and Barbuda,2003,10878,78658,1,1.27,3.3702865569935674,,1.993530552,
Antigua and Barbuda,2004,11535,79722,2,2.51,3.366699279997993,,2.030077579,
Antigua and Barbuda,2005,12649,80809,0,0.0,3.3226497048596073,0.673,2.098751967,
Antigua and Barbuda,2006,14114,81973,0,0.0,3.2693691825357125,0.675,1.787785374,
Antigua and Barbuda,2007,15775,83131,1,1.2,3.2021748806101216,0.676,1.416052594,
Antigua and Barbuda,2008,16238,84273,0,0.0,3.127929467326427,0.674,5.333806398,
Antigua and Barbuda,2009,14335,85405,0,0.0,3.059539839587846,0.672,-0.550159996,
Antigua and Barbuda,2012,13657,88703,0,0.0,3.0168089016155033,0.656,3.376880443,
Antigua and Barbuda,2013,13287,89779,0,0.0,3.034117109791822,0.657,1.059497824,
Antigua and Barbuda,2014,14093,90837,0,0.0,3.0483173156312953,0.652,1.089441574,
Antigua and Barbuda,2015,14853,91889,1,1.09,3.0591256842494747,0.654,0.968993459,
Argentina,1985,3264,27090800,1988,7.34,3.3221610288363577,,,
Argentina,1986,4072,27244400,2284,8.38,3.322517655004331,,,
Argentina,1987,4026,27599400,2286,8.28,3.3218113437248635,,,
Argentina,1988,4458,28308000,2354,8.32,3.5113748763600396,,,
Argentina,1989,2670,28702000,2247,7.83,3.5607274754372518,,,
Argentina,1990,4859,29091100,2140,7.36,3.623444971142377,0.628,,
Argentina,1991,6404,29623000,1951,6.59,3.5580461128177427,0.632,,5.440000057
Argentina,1992,7615,30045400,2184,7.27,3.6042122920646755,0.634,,6.360000134
Argentina,1993,7768,30477500,2230,7.32,3.6485932245098844,0.636,,10.10000038
Argentina,1994,8328,30911200,2241,7.25,3.6970418489091337,0.639,,11.76000023
Argentina,1995,8232,31345400,2204,7.03,3.7517466677726237,0.648,,18.79999924
Argentina,1996,8563,31780700,2229,7.01,3.813320663169786,0.659,,17.11000061
Argentina,1997,9057,32333781,2184,6.75,4.157407387648231,0.67,,14.81999969
Argentina,1998,9126,32757259,2347,7.16,4.236886853078885,0.681,,12.64999962
Argentina,1999,8546,33174862,2423,7.3,4.3065680273214095,0.715,,14.05000019
Argentina,2000,8462,33585533,2774,8.26,4.368303459706892,0.736,,15.0
Argentina,2001,7900,34010946,3132,9.21,4.486258629795243,0.756,,17.31999969
Argentina,2002,2840,34407507,3162,9.19,4.588667234740372,0.762,,19.59000015
Argentina,2003,3668,34785907,3289,9.45,4.674392994841273,0.761,,15.35999966
Argentina,2004,4683,35162945,3121,8.88,4.740948177122252,0.76,,13.52000046
Argentina,2005,5590,35550617,3058,8.6,4.788102552481719,0.751,,11.51000023
Argentina,2006,6475,35918886,3108,8.65,4.8804046985198815,0.795,,10.07999992
Argentina,2007,7918,36315492,2946,8.11,4.947720383355952,0.796,,8.470000267
Argentina,2008,9843,36733520,3059,8.33,4.993262284692564,0.801,,7.840000153
Argentina,2009,8961,37158001,2884,7.76,5.020237767903607,0.81,,8.649999619
Argentina,2010,11273,37578454,2943,7.83,5.0328786809590405,0.818,,7.710000038
Argentina,2011,13946,38015739,2912,7.66,5.08962616773016,0.824,,7.179999828
Argentina,2012,14203,38441778,3248,8.45,5.127978211621741,0.822,,7.21999979
Argentina,2013,14206,38859125,2987,7.69,5.152967288892892,0.822,,7.099999905
Argentina,2014,13400,39276555,3231,8.23,5.1698806068913115,0.826,,7.269999981
Argentina,2015,14981,39699624,3073,7.74,5.18309946713853,0.832,,7.520999908
Armenia,1990,756,2983700,93,3.12,2.540469886382679,0.637,,
Armenia,1991,640,3230800,80,2.48,2.5287854401386656,0.64,,1.600000024
Armenia,1992,385,3308700,83,2.51,2.466225405748481,0.64,,1.799999952
Armenia,1993,357,3366600,106,3.15,2.4208400166339925,0.647,,5.300000191
Armenia,1994,387,3402500,112,3.29,2.348273328434974,0.64,3373.759443,6.599999905
Armenia,1995,426,3443200,130,3.78,2.3059944237918217,0.631,175.9513255,6.699999809
Armenia,1996,458,3486300,87,2.5,2.2660126781975163,0.633,18.68118564,9.300000191
Armenia,1997,465,3526700,77,2.18,2.265574049394618,0.646,13.96076412,10.80000019
Armenia,1998,532,3558000,66,1.85,2.32433951658235,0.666,8.672486324,9.399999619
Armenia,1999,515,3580700,67,1.87,2.4883402686625518,0.674,0.64824576,11.19999981
Armenia,2000,530,3606500,61,1.69,2.886455011784278,0.671,-0.790883769,11.04800034
Armenia,2001,587,3610516,60,1.66,2.9489690670253226,0.66,3.145904647,10.9119997
Armenia,2002,788,3014844,74,2.45,2.9062863617487342,0.66,1.060049293,10.77600002
Armenia,2003,928,3024366,59,1.95,3.1553720680631905,0.662,4.721553366,10.59399986
Armenia,2006,2310,2764396,78,2.82,4.58715032144454,0.696,2.892356625,9.996999741
Armenia,2007,3366,2735313,71,2.6,4.698036385598284,0.717,4.407360896,9.81000042
Armenia,2008,3829,3045391,63,2.07,4.213481946981521,0.712,8.949953354,14.39299965
Armenia,2009,3215,2689695,53,1.97,4.85136790602652,0.729,3.406766827,18.44000053
Armenia,2010,3460,2676225,73,2.73,5.0109015497575875,0.734,8.176361385,19.01000023
Armenia,2011,3798,2670366,67,2.51,5.325412321756643,0.737,7.650008079,18.44000053
Armenia,2012,3773,2814300,79,2.81,5.252993639626195,0.736,2.558020078,17.29999924
Armenia,2013,3957,2810664,67,2.38,5.469632798513092,0.743,5.789667785,16.18000031
Armenia,2014,4142,2803029,58,2.07,5.644822083538915,0.746,2.981308689,17.5
Armenia,2015,3775,2795335,74,2.65,5.799269139477022,0.75,3.731691193,18.26000023
Armenia,2016,3788,2400033,67,2.79,6.848655830982324,,,
Aruba,1995,17949,73581,8,10.87,2.9681575406694662,,3.361391073,
Aruba,1999,21027,81934,9,10.98,2.988991139209608,,2.280371983,
Aruba,2000,22333,83888,10,11.92,2.9658592408926188,,4.044021312,
Aruba,2001,22317,86045,4,4.65,2.9658899413097797,,2.883604303,
Aruba,2002,21987,88284,9,10.19,2.962031625209551,,3.315246786,
Aruba,2003,22345,90457,2,2.21,2.970472158041942,,3.656365079,
Aruba,2004,24133,92335,8,8.66,2.9804516163968158,,2.529129469,
Aruba,2005,24870,93728,10,10.67,3.0076391259815636,,3.397786778,
Aruba,2006,25622,94508,9,9.52,3.171160113429551,,3.608024388,
Aruba,2007,27672,94814,8,8.44,3.343388107241547,,5.392567845,
Aruba,2008,29447,94814,4,4.22,3.522686523087308,,8.955987052,
Aruba,2009,26361,94795,4,4.22,3.7111662007489845,,-2.13542872,
Aruba,2010,25974,95006,7,7.37,3.8997536997663307,,2.078140719,
Aruba,2011,27066,95488,9,9.43,4.045534517426273,,4.316297422,
Australia,1985,12374,14562500,1861,12.78,4.133218884120172,,,
Australia,1986,12288,14809800,2044,13.8,4.312684843819633,,,
Australia,1987,12564,15046500,2164,14.38,4.426278536536736,,,
Australia,1988,15393,15312100,2172,14.18,4.535628685810568,,,
Australia,1989,19223,15570600,2066,13.27,4.615750195881983,,,
Australia,1990,19665,15807000,2202,13.93,4.697286012526096,0.873,7.333021952,
Australia,1991,20320,16012100,2288,14.29,4.7994953816176515,0.874,3.17667537,9.579999924
Australia,1992,20050,16203500,2251,13.89,4.91066744839078,0.874,1.012231126,10.72999954
Australia,1993,19030,16370000,2038,12.45,4.998167379352474,0.875,1.753653445,10.86999989
Australia,1994,19469,16549400,2283,13.8,5.068461696496549,0.875,1.969634797,9.720000267
Australia,1995,21902,16766300,2170,12.94,5.1740694130487945,0.894,4.6277666,8.470000267
Australia,1996,23526,17015100,2426,14.26,5.344076731844067,0.895,2.615384615,8.510000229
Australia,1997,25234,17221300,2646,15.36,5.506744554708414,0.895,0.224887556,8.359999657
Australia,1998,22897,17421730,2632,15.11,5.66722133794979,0.895,0.86013463,7.679999828
Australia,1999,22016,17641702,2488,14.1,5.825140907606307,0.895,1.483129403,6.869999886
Australia,2000,23219,17874410,2391,13.38,5.980460334075363,0.895,4.457435148,6.28000021
Australia,2001,20860,18130883,2458,13.56,6.147748016464504,0.896,4.407135362,6.739999771
Australia,2002,21474,18370058,2319,12.62,6.280519092536344,0.895,2.981574539,6.369999886
Australia,2003,25059,18608029,2156,11.59,6.409184981386261,0.893,2.732595966,5.929999828
Australia,2004,32454,18854551,2114,11.21,6.446973995827321,0.892,2.343255225,5.389999866
Australia,2006,39014,19109246,2117,11.08,6.541262800217234,0.876,3.555287737,4.78000021
Australia,2007,43171,19734430,2229,11.29,6.637511192367857,0.879,2.327611289,4.380000114
Australia,2008,52315,20120312,2341,11.64,6.633460753491298,0.914,4.35029855,4.230000019
Australia,2009,45128,20529317,2337,11.38,6.6198110731107125,0.916,1.771117166,5.559999943
Australia,2010,54887,20847547,2420,11.61,6.655027567511899,0.919,2.918340027,5.210000038
Australia,2011,66770,20881910,2392,11.45,6.733004787397322,0.922,3.303850156,5.079999924
Australia,2012,72669,21238909,2580,12.15,6.775131434481875,0.928,1.762780156,5.21999979
Australia,2013,72856,21600180,2608,12.07,6.827961618838361,0.906,2.449888641,5.659999847
Australia,2014,66809,21927587,2891,13.18,6.912935746190405,0.908,2.487922705,6.079999924
Australia,2015,60656,22240785,3027,13.61,7.005750921111822,0.918,1.508366722,6.050000191
Austria,1985,9759,7110115,2091,29.41,6.972573580033516,,,
Austria,1986,13911,7119149,2139,30.05,7.081253672313924,,,
Austria,1987,17415,7130006,2069,29.02,7.204930823340121,,,
Austria,1988,18663,7144410,1851,25.91,7.328428799578972,,,
Austria,1989,18544,7177666,1898,26.44,7.398254530093766,,,
Austria,1990,23020,7231353,1825,25.24,7.3351833329115586,0.675,3.261872319,
Austria,1991,23808,7299728,1769,24.23,7.107415509180616,0.682,3.337427035,3.420000076
Austria,1992,26450,7375368,1759,23.85,6.816161580005228,0.692,4.0208478,3.589999914
Austria,1993,25611,7433569,1704,22.92,6.553460390291662,0.699,3.631785249,4.25
Austria,1994,27274,7462552,1776,23.8,6.443586590753404,0.704,2.953409368,3.539999962
Austria,1995,32237,7477030,1788,23.91,6.531470383293901,0.709,2.243366315,4.349999905
Austria,1996,31660,7493706,1779,23.74,6.715035257588169,0.711,1.860971158,5.28000021
Austria,1997,28325,7512589,1592,21.19,6.921701692984936,0.715,1.305978572,5.150000095
Austria,1998,28972,7533519,1559,20.69,7.1255677459630755,0.72,0.922467197,5.519999981
Austria,1999,28722,7561609,1555,20.56,7.306394710437951,0.727,0.568993766,4.699999809
Austria,2000,25922,7592073,1588,20.92,7.477575623943553,0.731,2.344862854,4.690000057
Austria,2001,25848,7634560,1489,19.5,7.655503395087601,0.754,2.650000773,4.010000229
Austria,2002,27772,7683162,1553,20.21,7.78235575405022,0.721,1.810357878,4.849999905
Austria,2003,33889,7722033,1456,18.86,7.85369604092601,0.728,1.355553709,4.78000021
Austria,2004,38711,7773105,1422,18.29,7.9578109391292156,0.74,2.06120618,5.829999924
Austria,2005,40367,7827461,1399,17.87,8.065642230603256,0.749,2.299137856,5.630000114
Austria,2006,42698,7869269,1297,16.48,8.182653306171133,0.759,1.441548511,5.239999771
Austria,2007,49218,7897272,1285,16.27,8.283949191568936,0.806,2.168555288,4.860000134
Austria,2008,54294,7925258,1267,15.99,8.348207717654113,0.809,3.215950332,4.130000114
Austria,2009,50356,7946894,1278,16.08,8.38752851113907,0.819,0.506308828,5.300000191
Austria,2010,49181,7968421,1264,15.86,8.428043648798175,0.837,1.81353439,4.820000172
Austria,2011,53923,7995146,1288,16.11,8.459320192526816,0.838,3.286579149,4.559999943
Austria,2012,50979,8031276,1276,15.89,8.47272587817926,0.841,2.485675622,4.869999886
Austria,2013,53229,8079615,1291,15.98,8.498102941786211,0.833,2.000156169,5.329999924
Austria,2014,54278,8141165,1314,16.14,8.746868537856683,0.854,1.60581183,5.619999886
Austria,2015,46484,8219386,1251,15.22,9.149162723346976,0.861,0.896563335,5.71999979
Austria,2016,46976,7484629,1201,16.05,10.500974731012052,,,
Azerbaijan,1990,1439,6156800,114,1.85,2.3080171517671517,,,
Azerbaijan,1991,1398,6290600,134,2.13,2.2493879757097894,,,0.899999976
Azerbaijan,1992,784,6370400,144,2.26,2.1584201933944493,,-10.63009716,1.799999952
Azerbaijan,1993,617,6442600,119,1.85,2.095427311954801,,1128.000024,4.5
Azerbaijan,1994,508,6521200,47,0.72,2.0425688523584618,,1662.215949,6.300000191
Azerbaijan,1995,462,6605900,49,0.74,1.9921585249549643,0.618,411.7596418,7.199999809
Azerbaijan,1996,476,6668100,69,1.03,1.9720760036592133,0.614,19.79480281,8.100000381
Azerbaijan,1997,590,6711200,107,1.59,1.9743115985218738,0.616,3.674348097,9.100000381
Azerbaijan,1998,631,7044400,56,0.79,1.896541934018511,0.625,-0.772697886,10.0
Azerbaijan,1999,645,7106400,54,0.76,1.8968816841157268,0.633,-8.525170005,10.89999962
Azerbaijan,2000,711,7415250,62,0.84,1.6351437915107379,0.64,1.805003037,11.77999973
Azerbaijan,2001,759,7518000,317,4.22,1.6965948390529395,0.647,1.547195902,10.90999985
Azerbaijan,2002,820,7605700,92,1.21,1.7697253375757653,0.653,2.77116472,10.03999996
Azerbaijan,2003,948,7674400,129,1.68,1.893959136870635,0.66,2.23386493,9.170000076
Azerbaijan,2004,1122,7738250,108,1.4,2.022421090039738,0.666,6.708930428,7.989999771
Azerbaijan,2007,4172,7921100,55,0.69,2.4434737599575818,0.662,16.69975496,6.329999924
Bahamas,1985,11393,203700,1,0.49,2.0618556701030926,,,
Bahamas,1987,12286,220900,3,1.36,2.0371208691715705,,,
Bahamas,1993,12698,243500,7,2.87,1.971252566735113,,,
Bahamas,1994,13073,249300,3,1.2,2.0457280385078223,,,
Bahamas,1995,13473,254500,2,0.79,2.1218074656188604,,,
Bahamas,1996,14297,252438,3,1.19,1.8519398822681215,,,
Bahamas,1997,24740,255956,2,0.78,1.9147822281954712,,,
Bahamas,1998,26269,260125,3,1.15,1.9705910619894282,,,
Bahamas,1999,29019,264791,6,2.27,2.028392203662511,,,
Bahamas,2000,29942,269738,11,4.08,2.0875812825779088,0.7,,
Bahamas,2001,30122,276140,1,0.36,2.140942999927573,0.702,,
Bahamas,2002,31432,282555,3,1.06,2.196740457610023,0.704,,
Bahamas,2003,30704,288888,1,0.35,2.2534684722106837,0.706,,
Bahamas,2004,30671,295237,2,0.68,2.316105366197326,0.708,,
Bahamas,2005,32596,301763,4,1.33,2.387966715601316,0.71,,
Bahamas,2006,32957,308499,2,0.65,2.450899354617033,0.717,,
Bahamas,2007,33710,314989,5,1.59,2.5080240897301174,0.717,,
Bahamas,2008,32746,321447,4,1.24,2.5565645347444526,0.72,,
Bahamas,2009,30450,327813,6,1.83,2.6030084224847703,0.725,,
Bahamas,2010,30239,333869,10,3.0,2.654334484483435,0.731,,
Bahamas,2011,29761,338383,4,1.18,2.78678302396988,0.73,,
Bahamas,2012,31204,343558,5,1.46,2.92439704504043,0.729,,
Bahamas,2013,30455,348959,5,1.43,3.061104599680765,0.728,,
Bahrain,1985,9980,365900,11,3.01,0.7925662749385078,,,
Bahrain,1987,9321,363900,9,2.47,0.8518823852706787,,,
Bahrain,1988,9501,389700,14,3.59,0.6928406466512702,,,
Bahrain,1997,11985,529754,0,0.0,0.8692713976675968,0.628,2.43155134,1.090000033
Bahrain,1998,11325,546008,0,0.0,0.8672034109390339,0.632,-0.366533865,1.08099997
Bahrain,1999,11703,565762,17,3.0,0.8591952092929536,0.635,-1.287587972,1.088000059
Bahrain,2000,15345,590594,29,4.91,0.8537167665096496,0.643,-0.704852953,1.083999991
Bahrain,2001,14383,624083,23,3.69,0.8393114377414542,0.645,-1.207571802,1.10800004
Bahrain,2002,14572,661010,25,3.78,0.8310010438571278,0.646,-0.495540139,1.105000019
Bahrain,2003,15756,702913,34,4.84,0.8218655793818012,0.646,1.593625498,1.087000012
Bahrain,2004,17497,751559,42,5.59,0.8049933538152029,0.641,2.352941176,1.085999966
Bahrain,2005,19485,819540,42,5.12,1.0313102472118505,0.637,2.586206897,1.090999961
Bahrain,2006,20826,888543,28,3.15,1.052734645368879,0.64,2.007469655,1.097000003
Bahrain,2007,22524,964770,40,4.15,1.072690900421862,0.644,3.256666667,1.088000059
Bahrain,2008,25106,1024110,43,4.2,0.9613225141830467,0.647,3.526003164,1.106999993
Bahrain,2009,20988,1092922,36,3.29,0.7497332838025037,0.651,2.795512836,1.139000058
Bahrain,2010,22572,1139160,19,1.67,0.782506408230626,0.654,1.961884683,1.129999995
Bahrain,2011,26078,1103462,18,1.63,0.8256741056783106,0.664,-0.400040697,1.180999994
Bahrain,2012,25587,1201778,19,1.58,0.7236777507992325,0.664,2.7573967,1.200000048
Bahrain,2013,26793,1214492,5,0.41,0.7583417593528816,0.674,3.300011569,1.184000015
Bahrain,2014,27503,1213966,9,0.74,1.0578549975864233,0.685,2.647553212,1.190000057
Barbados,1985,6137,231000,7,3.03,4.761904761904762,,,
Barbados,1986,6720,231600,8,3.45,4.7495682210708114,,,
Barbados,1987,7333,233700,6,2.57,4.7068891741549,,,
Barbados,1988,7763,234800,12,5.11,4.727427597955707,,,
Barbados,1989,8541,236000,16,6.78,5.508474576271186,,,
Barbados,1990,8537,237000,16,6.75,5.9071729957805905,0.625,3.074572711,
Barbados,1991,8469,237000,17,7.17,6.329113924050633,0.632,6.257526633,22.66699982
Barbados,1992,8129,240000,14,5.83,6.25,0.639,6.09389303,22.94000053
Barbados,1993,8540,239600,16,6.68,6.218697829716194,0.646,1.113439336,24.54000092
Barbados,1994,8953,240300,14,5.83,6.242197253433209,0.653,0.077204388,22.97999954
Barbados,1995,9378,241200,17,7.05,6.260364842454395,0.66,1.878862794,19.65999985
Barbados,2000,12430,251133,10,3.98,5.536508543281847,0.69,2.435813035,9.350000381
Barbados,2001,12348,252406,2,0.79,5.633384309406273,0.69,2.577834904,9.850000381
Barbados,2002,12511,253353,0,0.0,5.728371086981405,0.697,0.125249458,10.31999969
Barbados,2003,12887,254122,0,0.0,5.799183069549271,0.704,1.619433198,11.0
Barbados,2004,13786,254925,3,1.18,5.841718152397764,0.711,1.394422311,9.569999695
Barbados,2005,15230,255889,1,0.39,5.854100801519409,0.718,6.082187295,9.079999924
Barbados,2006,16531,256883,9,3.5,5.9256548701159675,0.725,7.307662628,8.729999542
Barbados,2007,17528,258083,0,0.0,5.979859192585331,0.732,4.034229829,7.409999847
Barbados,2008,17760,259414,1,0.39,6.019721372015389,0.742,8.108108108,8.119999886
Barbados,2009,17007,260718,5,1.92,6.050215175016685,0.751,3.643861893,10.02000046
Barbados,2010,17034,261927,3,1.15,6.0852833041267225,0.742,5.824218533,10.68999958
Barbados,2011,17708,263203,0,0.0,6.171662177102845,0.755,9.432202402,11.18999958
Barbados,2012,17620,264270,0,0.0,6.259128921179097,0.776,4.533347539,11.59000015
Barbados,2013,17395,265165,0,0.0,6.337563403918316,0.777,1.81410436,11.55000019
Belarus,1990,2301,9408800,2085,22.16,4.918799421817872,,,
Belarus,1991,1899,9476200,2169,22.89,4.649543065785863,,,0.600000024
Belarus,1992,1780,9570900,2424,25.33,4.417557387497519,,,3.099999905
Belarus,1993,1689,9641100,2885,29.92,4.320046467726712,,1190.229233,8.5
Belarus,1994,1547,9653900,3153,32.66,4.259418473363096,,2221.01657,12.80000019
Belarus,1995,1444,9673600,3203,33.11,4.192854780019848,0.63,709.3460321,17.70000076
Belarus,1996,1524,9684800,3627,37.45,4.151866842887824,0.643,52.71207675,24.39999962
Belarus,1997,1458,9692100,3526,36.38,4.183819812011845,0.648,63.93736634,17.10000038
Belarus,1998,1570,9694800,3556,36.68,4.336345257251311,0.649,72.86971705,14.0
Belarus,1999,1269,9563200,3397,35.52,4.4420277731303335,0.658,293.6787509,12.80000019
Belarus,2000,1335,9543479,3483,36.5,4.632943604737853,0.668,168.6202359,12.26200008
Belarus,2001,1299,9513587,3303,34.72,4.864137995479518,0.677,61.13493316,11.5539999
Belarus,2002,1541,9469234,3291,34.75,5.095818732539507,0.687,42.53754813,10.90699959
Belarus,2003,1892,9420691,3456,36.69,5.3770153378345595,0.696,28.39783991,10.32400036
Belarus,2007,4898,9244456,2659,28.76,6.296930830759538,0.774,8.426752735,7.672999859
Belarus,2008,6601,9205746,2658,28.87,6.433373243189634,0.804,14.83787648,7.032000065
Belarus,2009,5366,9169969,2743,29.91,6.468724158173273,0.826,12.94565634,6.099999905
Belarus,2010,6371,8981193,2459,27.38,6.5849047002998375,0.828,7.735748043,6.252999783
Belarus,2011,6902,8947320,2172,24.28,6.738945293115704,0.829,53.22869831,6.165999889
Belarus,2013,8477,8910240,1902,21.35,7.116721884034549,0.839,18.31226104,6.006000042
Belarus,2014,8849,8906977,1741,19.55,7.270199530098707,0.838,18.11955435,5.993999958
Belgium,1985,9356,9269600,2281,24.61,6.696081815828084,,,
Belgium,1986,12992,9287100,2202,23.71,6.837441181854401,,,
Belgium,1987,16165,9291300,2238,24.09,6.853723375630967,,,
Belgium,1988,17509,9319300,1996,21.42,6.933997188630048,,,
Belgium,1989,17659,9349200,1920,20.54,7.0337568989860095,,,
Belgium,1990,22032,9369700,1895,20.22,7.059991248385754,0.705,3.44831218,
Belgium,1991,22523,9396600,1805,19.21,6.97592746312496,0.708,3.215310693,6.989999771
Belgium,1992,25036,9428100,1878,19.92,6.813674017034185,0.745,2.427955672,6.699999809
Belgium,1993,23875,9462900,2142,22.64,6.608967652622347,0.779,2.754426435,8.079999924
Belgium,1994,25922,9497400,2131,22.44,6.524943668793565,0.79,2.377540845,9.649999619
Belgium,1995,30394,9527100,2155,22.62,6.656800075573889,0.803,1.467966991,9.340000153
Belgium,1996,29438,9557545,2013,21.06,6.887145182157134,0.815,2.077021074,9.479999542
Belgium,1997,26609,9576223,2146,22.41,6.9970697215384385,0.82,1.628160495,8.960000038
Belgium,1998,27087,9620997,2019,20.99,7.306425726980271,0.827,0.949250288,9.319999695
Belgium,1999,26969,9648277,1857,19.25,7.5152278484541855,0.825,1.120848234,8.649999619
Belgium,2000,24592,9674025,2143,22.15,7.71749090993666,0.833,2.544517762,6.590000153
Belgium,2001,24494,9710055,2165,22.3,7.908194134842697,0.838,2.469258231,6.179999828
Belgium,2002,26526,9758570,2076,21.27,8.067544732476172,0.842,1.645214362,6.909999847
Belgium,2003,32538,9804122,2091,21.33,8.206160633252013,0.846,1.588964,7.679999828
Belgium,2004,37661,9848022,1987,20.18,8.36081600954994,0.849,2.097283112,7.360000134
Belgium,2005,39124,9901014,2029,20.49,8.546144869606284,0.856,2.781432637,8.43999958
Belgium,2006,41135,9962702,1935,19.42,8.741152751532667,0.869,1.791207701,8.25
Belgium,2007,47040,10030266,1857,18.51,8.926642623435908,0.871,1.8230563,7.460000038
Belgium,2008,51345,10100850,1999,19.79,9.065969695619676,0.865,4.489444205,6.980000019
Belgium,2009,47630,10173366,2013,19.79,9.164302159187038,0.87,-0.053145674,7.909999847
Belgium,2010,47355,10211171,2013,19.71,9.21272398630872,0.871,2.189299204,8.289999962
Belgium,2011,50893,10355126,2088,20.16,9.218690337519794,0.873,3.532082107,7.139999866
Belgium,2012,47678,10442637,2026,19.4,9.281429585266633,0.874,2.839663434,7.539999962
Belgium,2013,49489,10526149,1895,18.0,9.354988229788502,0.88,1.11309594,8.430000305
Belgium,2014,50173,10578848,1899,17.95,9.47386709781632,0.883,0.340002833,8.520000458
Belgium,2015,42830,10624356,1867,17.57,9.496820324921341,0.89,0.561429153,8.479999542
Belize,1986,1552,146800,3,2.04,2.2479564032697548,,,
Belize,1987,1920,144069,4,2.78,1.9407367303167233,,,
Belize,1989,2372,153088,1,0.65,1.9681490384615383,,,
Belize,1990,2614,158000,3,1.9,2.0253164556962027,0.495,,
Belize,1991,2742,162200,2,1.23,2.0345252774352653,0.498,,9.699999809
Belize,1993,3278,170800,1,0.59,1.9906323185011712,0.512,,9.779999733
Belize,1994,3399,170874,8,4.68,2.031321324484708,0.519,,11.10000038
Belize,1995,3436,180500,14,7.76,1.9390581717451523,0.526,,12.47999954
Belize,1996,3545,180926,8,4.42,1.9538374805168963,0.533,,13.81999969
Belize,1997,3487,187650,1,0.53,1.8774313882227551,0.54,,12.68000031
Belize,1998,3531,195108,12,6.15,1.7974660188203457,0.548,,14.31000042
Belize,1999,3615,202699,18,8.88,1.7143646490609228,0.555,,12.84000015
Belize,2000,3960,210109,18,8.57,1.6386732600697733,0.563,,10.85099983
Belize,2001,4013,217279,19,8.74,1.6062297783034716,0.57,,9.069999695
Belize,2002,4161,224136,14,6.25,1.5682442802584147,0.583,,10.03999996
Belize,2003,4289,230890,12,5.2,1.5210706396985578,0.596,,10.23999977
